Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
M,90000.00,2,0,Bachelors,Professional,1,0,1-2 Miles,Pacific,49,1
M,60000.00,3,3,Bachelors,Professional,0,1,0-1 Miles,Pacific,50,1
M,60000.00,3,3,Bachelors,Professional,1,1,2-5 Miles,Pacific,50,1
F,70000.00,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,47,1
F,80000.00,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,47,1
M,70000.00,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,50,1
F,70000.00,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,49,1
M,60000.00,3,3,Bachelors,Professional,1,2,0-1 Miles,Pacific,51,1
F,60000.00,4,4,Bachelors,Professional,1,3,10+ Miles,Pacific,51,1
M,70000.00,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,51,1
F,70000.00,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,51,1
M,60000.00,4,4,Bachelors,Professional,1,4,10+ Miles,Pacific,51,1
F,100000.00,2,0,Bachelors,Management,1,2,1-2 Miles,North America,47,0
M,100000.00,2,0,Bachelors,Management,1,3,0-1 Miles,North America,47,0
F,100000.00,3,0,Bachelors,Management,0,3,1-2 Miles,North America,47,0
F,30000.00,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,36,1
M,30000.00,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,36,1
F,20000.00,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,71,1
M,30000.00,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,71,1
M,40000.00,0,0,High School,Skilled Manual,0,2,5-10 Miles,Europe,37,0
M,40000.00,0,0,High School,Skilled Manual,0,2,1-2 Miles,Europe,37,1
F,40000.00,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,37,1
M,40000.00,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,37,1
M,40000.00,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,37,0
M,60000.00,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,37,0
M,10000.00,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,69,1
M,30000.00,2,0,Partial College,Clerical,0,2,1-2 Miles,Pacific,69,1
M,30000.00,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,68,1
F,30000.00,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,69,1
M,30000.00,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,68,1
F,10000.00,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,68,1
F,20000.00,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,68,1
